stuID,schID,gender,pre_region,trans_stu,trans_pa,pre_frendship_1a,pre_frendship_2a,pre_frendship_3a,pre_frendship_4a,pre_frendship_5a,pre_frendship_1b,pre_frendship_2b,pre_frendship_3b,pre_frendship_4b,pre_frendship_5b,pre_frendship_6b,post_frendship_1a,post_frendship_2a,post_frendship_3a,post_frendship_4a,post_frendship_5a,post_frendship_1b,post_frendship_2b,post_frendship_3b,post_frendship_4b,post_frendship_5b,post_frendship_6b,satisfac_stu_1,satisfac_stu_2,satisfac_stu_3,satisfac_stu_4,satisfac_stu_5,satisfac_pa_safety_1,satisfac_pa_safety_2,satisfac_pa_safety_3,satisfac_pa_safety_4,satisfac_pa_safety_5,satisfac_pa_safety_6,satisfac_pa_edu_1,satisfac_pa_edu_2,satisfac_pa_edu_3,satisfac_pa_edu_4,satisfac_pa_edu_5,satisfac_pa_edu_6,satisfac_pa_edu_7,satisfac_pa_edu_8,enthu_pa_1,enthu_pa_2,enthu_pa_3,enthu_pa_4,enthu_pa_5,enthu_pa_6,enthu_pa_7,enthu_pa_8,enthu_pa_9,enthu_pa_10,enthu_pa_11,SES,prefer_Hsch,prefer_Hsch_dum_1,prefer_Hsch_dum_2,prefer_Hsch_dum_3,prefer_Hsch_dum_4,prefer_Hsch_dum_5,prefer_Hsch_dum_6,prefer_Hsch_dum_7,prefer_Hsch_dum_8,academic_abil,trans_Y1,multicultur_per,sch_SES,sch_academic_abil
1,1001,2,1,2,2,4,4,3,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,3,4,3,4,4,3,3,3,3,4,3,3,3,3,3,1,2,5,5,5,1,420,2,0,1,0,0,0,0,0,0,217.6666667,0,25.74257426,,
2,1001,2,1,2,2,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,-1,-1,-1,-1,-1,-1,5,5,5,5,5,3,4,4,4,4,4,5,4,4,3,3,3,4,3,4,5,4,4,4,3,3,4,4,4,3,410,2,0,1,0,0,0,0,0,0,189.3333333,0,25.74257426,,
3,1001,2,1,2,2,5,4,4,5,3,3,4,5,4,4,3,5,5,4,5,3,4,4,5,4,5,5,4,5,5,3,4,4,3,5,2,4,5,4,4,4,4,4,4,3,4,4,5,-1,-1,5,5,3,2,5,5,2,250,1,1,0,0,0,0,0,0,0,212.3333333,0,25.74257426,,
4,1001,1,1,2,2,5,4,4,5,5,4,4,4,4,4,4,5,5,4,5,5,5,5,3,5,5,5,3,3,2,5,3,2,2,4,4,3,3,4,4,4,4,4,4,4,4,4,4,2,2,3,4,3,4,4,4,4,500,1,1,0,0,0,0,0,0,0,154.6666667,0,25.74257426,,
5,1001,2,1,2,2,2,3,2,1,3,3,3,2,3,1,1,2,3,3,2,4,3,3,2,3,2,2,4,3,4,3,4,2,2,3,3,2,3,3,3,4,3,4,3,3,4,4,3,3,4,2,3,3,4,5,4,2,500,2,0,1,0,0,0,0,0,0,182.3333333,1,25.74257426,,
6,1001,2,1,2,2,5,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,3,2,4,3,3,4,4,3,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,3,900,1,1,0,0,0,0,0,0,0,238,0,25.74257426,,
7,1001,2,1,2,2,5,5,5,5,3,3,3,3,3,3,3,5,5,5,5,5,5,5,3,5,5,5,5,3,3,4,5,3,3,3,-1,-1,-1,3,3,3,3,3,3,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,5,0,0,0,0,1,0,0,0,137.6666667,0,25.74257426,,
8,1001,2,1,2,2,4,3,4,5,3,4,4,3,4,3,3,5,3,3,5,3,4,3,3,3,4,5,5,3,4,5,4,4,4,4,3,4,5,4,4,5,4,4,4,5,3,3,5,1,2,2,1,1,2,3,4,1,250,1,1,0,0,0,0,0,0,0,158.6666667,0,25.74257426,,
9,1001,2,1,2,2,3,5,4,5,4,3,3,3,3,5,4,4,3,4,5,3,3,3,3,3,3,3,4,5,3,3,3,5,1,5,4,1,5,3,3,3,3,3,3,3,3,5,3,2,3,5,5,5,5,4,4,4,400,4,0,0,0,1,0,0,0,0,208,0,25.74257426,,
10,1001,1,1,2,2,5,5,5,5,5,4,4,4,4,4,4,5,5,4,5,4,-1,-1,-1,-1,-1,-1,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,3,4,3,3,4,3,3,3,4,3,1,-1,1,1,0,0,0,0,0,0,0,196,0,25.74257426,,
11,1001,2,1,2,2,5,5,5,5,3,5,5,5,3,5,3,5,5,5,5,4,5,5,5,5,2,3,4,5,5,5,5,2,4,4,4,1,3,3,3,2,2,1,4,3,4,5,5,3,5,4,1,5,5,5,5,1,150,1,1,0,0,0,0,0,0,0,174.6666667,1,25.74257426,,
12,1001,2,1,2,2,5,5,5,5,5,4,4,4,4,4,4,5,5,5,4,5,5,5,5,5,5,5,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,2,4,5,3,4,5,4,4,3,500,1,1,0,0,0,0,0,0,0,177.6666667,0,25.74257426,,
13,1001,2,1,2,NA,4,4,3,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,2,3,4,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3,2,4,3,2,4,4,4,3,3,500,5,0,0,0,0,1,0,0,0,208.6666667,0,25.74257426,,
14,1001,2,1,2,2,5,5,5,5,5,4,4,2,3,3,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3,1,4,3,1,4,3,4,3,1,150,3,0,0,1,0,0,0,0,0,204.3333333,0,25.74257426,,
15,1001,1,1,2,2,5,5,3,5,3,3,3,3,3,3,5,3,3,3,5,3,4,4,4,3,3,3,4,3,2,3,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,3,4,3,2,250,8,0,0,0,0,0,0,0,1,140.6666667,2,25.74257426,,
16,1001,1,1,2,2,5,5,5,5,5,4,4,4,4,4,5,4,3,3,3,3,3,3,2,3,3,3,4,3,4,3,5,2,2,5,3,3,3,4,4,2,3,4,4,4,3,3,4,3,3,4,1,1,4,5,4,2,100,5,0,0,0,0,1,0,0,0,134,0,25.74257426,,
