schID,SES,academic_abil
1001,310.5882353,186.1238095
1002,472.4193548,197.7395833
1003,409.8333333,197.825
1004,535.3225806,212.8333333
1005,376.8571429,199.4827586
1006,516.1136364,203.162963
1007,514.627907,201.6046512
1008,395.825,198.8166667
1009,357.2941176,195.6666667
1010,366.9142857,198.4035088
1011,586.4516129,209.53125
1012,520.2068966,218.6555555
1013,401.7948718,204.8632479
1014,434.8275862,203.6321839
1015,537.4210526,199.0598291
1016,550.9189189,192.7387387
1018,526.4,198.275
1019,360.8666667,192.5686275
1020,355.03125,181.8431373
1021,609.5454545,204.0869565
1022,654.40625,195.1862745
1023,522.4411765,204.0740741
1024,399.25,196.0406504
1025,570.6578947,197.7833333
1026,1141.428571,220.8095238
1027,941.0810811,#DIV/0!
1028,1171.666667,218.2424242
1029,760.8571429,220.8148148
1030,816.5789474,227.3289474
1031,477.7636364,208.2902299
1032,791.3191489,228.0416667
1033,1676.153846,230.0571429
1034,833.1428571,219.8285714
1036,924.8387097,220.8181818
1037,1232.432432,227.2833333
1038,899.4871795,234.8373984
1039,443.3428571,194.6574074
1040,526.7567568,222
1041,340.2702703,190.5175439
1042,473.7037037,207.6428571
1043,619.5405405,218.9099099
1044,467.8,203.9784946
1045,387.027027,201.2982456
1046,463.875,214.375
1047,583.6666667,207.9166667
1048,430.2702703,197.0900901
1049,463,191.7777778
1051,347.7777778,183.5
1052,422.8571429,192.1981982
1053,253.3333333,163.9444445
1054,589.4444444,217.9074074
1055,291.7307692,196.308642
1056,324.6666667,189.0900901
1057,407,193.8452381
1058,448.90625,193.8181818
1059,500.3125,216.03125
1060,1338,220.2666667
1061,393.6111111,199.6759259
1062,384.7368421,185.0757576
1063,435,208.6851852
1064,779.2857143,220.8
1065,570.0277778,208.1018518
1066,379.0625,194.6862745
1067,397.5,181.5585585
1068,411.8055556,206.0940171
1069,375,193.1944444
1070,446.1538462,184.2926829
1071,351.7741935,187.2395833
1072,354.1666667,186.0942029
1073,841.5384615,214.6309524
1074,679.4102564,218.0569106
1075,342.4705882,198.7222222
1076,352.2580645,188.3978495
1077,392.7777778,201.3518519
1078,437.8571429,199.2698413
1079,583.0285714,205.8148148
1080,334.7804878,187.4796748
1081,454.6176471,208.537037
1082,362.9411765,212.1851852
1083,443.5526316,214.2631579
1084,490.3846154,214.8850575
1085,361.6666667,205.0462963
1086,465.9722222,217.8596491
1087,435.6,184.3693694
1088,617.6470588,211.8703704
1089,488.0540541,188.6486486
1090,471.6521739,208.615942
1091,394.1333333,184.2745098
1092,585,198.4561403
1093,482.3243243,193.9487179
1094,553.1111111,210.8439716
1095,895.5555556,219.962963
1096,225,173.9166667
1097,275,172.25
1098,255,160.2
1099,340.6,202.7333333
1100,380.9090909,191.6060606
1101,400.5862069,196.5428571
1102,380.8518519,188.65625
1103,482.2894737,216.8333333
1104,335.2,191.1264368
1105,293,196.047619
1106,345,203.4
1107,191.4285714,183.7619048
1108,137.5,183.0555556
1109,329.0344828,178.5333333
1110,382.2432432,191.9059829
1111,419.7368421,188.4333333
1112,449.7368421,203.1196581
1113,388.8235294,173.4684685
1114,810.4814815,220.5679012
1115,388.3333333,179.6666667
1116,370,174.2666667
1117,#DIV/0!,213.6666667
1118,220,162.4666667
1119,340,166.0555556
1120,292.8571429,167.8333333
1121,256.6666667,206.4814815
1122,402.5,188.6870748
1123,423.6052632,185.125
1124,497.5294118,213.7809524
1125,558.7931034,184.9770115
1126,216,166.1333333
1127,518.3333333,208.3703704
1128,516.3888889,215.5583333
1129,458.3333333,197.5138889
1130,423.6111111,194.4210526
1131,444.4255319,193
1132,818.9473684,197.7460318
1133,223.3333333,205.3333334
1134,214,208.3333333
1135,275,200.1111111
1137,275,175.9166667
1138,175,185.5
1139,346.9230769,186.8888889
1140,178.3333333,173.4285714
1141,362.7857143,197
1142,283.2903226,189.875
1143,568.6944444,191.0438596
1144,461.8571429,207.037037
1145,413.7777778,201.6126126
1146,570,222.8166667
1147,234,189.2222222
1148,405,159.3333333
1149,303,190
1150,287.5,172.2222222
1151,250,178.8666667
1152,178.5714286,193.375
1153,251.25,190.8888889
1154,315.6341463,201.3333333
1155,494.1025641,195.9960318
1156,471.875,184.3333333
1157,464.7222222,195.2820513
1158,385.8974359,192.5384615
1159,593.1707317,198.6504065
1160,408.975,190.6746032
1161,604.4736842,201.4473684
1162,417.8787879,187.9619048
1163,280,181.8666667
1164,270,204.2
1165,181.6666667,166.6666667
1166,175,176.8571429
1167,248,209.7777778
1168,230,169.8888889
1169,281.8181818,193
1170,297.6666667,157.8974359
1171,335.1351351,192.6929825
1172,417.6486486,198.2368421
1173,572.1612903,205.3333333
1174,548.1538462,213.4786325
1175,455.4878049,197.3730159
1176,573.6842105,206.975
1177,434.6923077,205.5555556
1178,413.8709677,186.7878788
1179,386.2068966,197.5333333
1180,386.8055556,210.3166667
1181,302,182.1081081
1182,313.1282051,176.2222222
1183,386,179.9444444
1184,200,#DIV/0!
1185,425,197.8333334
1186,311.6666667,192.2222222
1187,713.75,169.6296296
1188,326,173.3333333
1189,527.1212121,204
1190,490.3243243,199.3243243
1191,446.4722222,190.8157895
1192,433.1081081,189.4504504
1193,468.3783784,197.2051282
1194,367.9428571,193.3873874
1195,323.2307692,180.9382716
1196,254.75,188.3703704
1197,370.6060606,180.2905983
1198,486.25,216.868421
1199,391.7647059,173.045045
1201,541.1764706,214
1203,539.1666667,213.536036
1204,633.3714286,220.5142857
1205,430,185.3333333
1206,526.7096774,205.7291667
1207,608.8,220.1952381
1208,454.030303,199.6
1209,621.6129032,207.46875
1210,421.5714286,184.2051282
1211,434.75,193.4285714
1212,378.5714286,191.4022989
1213,381.3333333,210.7555556
1214,441.2962963,175.1481482
1215,820.1315789,222.5877193
1216,516.1764706,194.245098
1217,415.2173913,192.8550725
1218,345.3913043,189.8974359
1220,499.1666667,186.8333333
1221,423.0769231,192.9351852
1222,524.875,199.46875
1223,386.1111111,193.3157895
1225,420.8684211,186.0083333
1226,377.6129032,181.7676768
1227,469.5142857,209.7407407
1229,324.3181818,191.6086956
1230,354.7105263,177.8947368
1231,990,240.2424242
1232,394.5833333,173.1929824
1233,590.6410256,203.75
1234,542.6071429,210.045977
1235,524.6451613,138.1818182
1236,571.8378378,215.0526316
1237,436,176.0438596
1238,433.3333333,180.7264957
1239,376.9444444,185.7583333
1241,355.425,173.2460318
1242,636.6666667,160.8461538
1243,434.6969697,190.25
1244,334.5833333,192
1245,464.0571429,197.1891892
1246,463.08,207.12
1247,797.8125,216.2941176
1248,382.8,193.9333333
1249,337.5,177.0666667
1250,353.0909091,180.7777778
1251,474.5454545,183.8787879
1252,316.3939394,186.6388889
