L2Y3_SCHID,L2Y3_REG,L2Y3_SCHTYPE,L2Y3_SCHTYPE2,L2Y3DB1_1,L2Y3DB1_1_1,L2Y3DB1_1_2,L2Y3DB1_2,L2Y3DB1_3_1A,L2Y3DB1_3_1B,L2Y3DB1_3_1C,L2Y3DB1_3_1D,L2Y3DB1_3_2A,L2Y3DB1_3_2B,L2Y3DB1_3_3A,L2Y3DB1_3_3B,L2Y3DB1_4_1,L2Y3DB1_4_2,L2Y3DB1_4_3,L2Y3DB1_5_1,L2Y3DB1_5_2,L2Y3DB1_6_1A,L2Y3DB1_6_1B,L2Y3DB1_6_1C,L2Y3DB1_6_1D,L2Y3DB1_6_1E,L2Y3DB1_6_2A,L2Y3DB1_6_2B,L2Y3DB1_6_2C,L2Y3DB1_6_2D,L2Y3DB1_6_3,L2Y3DB1_6_4,L2Y3DB1_6_5,L2Y3DB1_6_6A,L2Y3DB1_6_6B,L2Y3DB1_6_6C,L2Y3DB1_6_6D,L2Y3DB1_6_7,L2Y3DB1_6_8,L2Y3DB1_6_9,L2Y3DB1_7_1,L2Y3DB1_7_2,L2Y3DB1_7_3,L2Y3DB1_7_4,L2Y3DB1_7_5,L2Y3DB1_8,L2Y3DB2_1,L2Y3DB2_1_1,L2Y3DB2_1_2,L2Y3DB2_1_3,L2Y3DB2_2,L2Y3DB2_2_M,L2Y3DB2_2_F,L2Y3DB2_2_1,L2Y3DB2_2_1M,L2Y3DB2_2_1F,L2Y3DB2_2_2,L2Y3DB2_2_2M,L2Y3DB2_2_2F,L2Y3DB2_2_3,L2Y3DB2_2_3M,L2Y3DB2_2_3F,L2Y3DB2_3_1,L2Y3DB2_3_2,L2Y3DB2_4,L2Y3DB2_4_2,L2Y3DB2_4_1,L2Y3DB2_4_1_1,L2Y3DB2_4_1_2,L2Y3DB2_4_1_3,L2Y3DB2_4_1_4,L2Y3DB2_4_1_5,L2Y3DB2_4_3,L2Y3DB2_4_4,L2Y3DB3_1,L2Y3DB3_1_1,L2Y3DB3_1_2,L2Y3DB3_2,L2Y3DB3_3,L2Y3DB3_4,L2Y3DB3_5,L2Y3DB3_6,L2Y3DB3_7_1,L2Y3DB3_7_2,L2Y3DB3_7_3,L2Y3DB4_1,L2Y3DB4_1M,L2Y3DB4_1F,L2Y3DB4_2,L2Y3DB4_3,L2Y3DB4_4_1,L2Y3DB4_4_2,L2Y3DB4_4_3,L2Y3DB4_4_4,L2Y3DB4_4_5,L2Y3DB4_5,L2Y3DB4_5M,L2Y3DB4_5F,L2Y3DB4_6,L2Y3DB5_1,L2Y3DB5_2,L2Y3DB5_3,L2Y3DB5_4
4001,3,1,1,25667,10929,14738,8087,0,0,0,0,12,2241,48,3168,1,15963,39,53,59,28,0,6,0,0,0,1,0,0,1,13,1,1,1,0,10,4,2,0,1,0,0,0,1,34,28,9,9,10,878,492,386,269,157,112,292,147,145,317,188,129,0,0,309,0,307,255,29,21,2,0,2,0,4,4,0,1,1,0,16,23,3,0,0,52,14,38,14.83,40.37,0,1,33,16,2,1,0,1,4,1,1,60,36.05
4002,3,1,1,12430,8180,4250,9585,0,0,0,0,48,4327,57,5258,1,15078,80,72,65,21,0,14,0,1,1,1,0,1,5,12,1,1,5,0,26,1,0,0,0,1,0,0,1,35,22,7,7,8,639,339,300,202,92,110,205,117,88,232,130,102,1,0,269,0,269,219,34,15,0,1,0,0,4,3,1,2,0,0,13,13,0,0,1,42,18,24,17.27,42.74,0,0,32,9,1,0,0,0,5,1,1,60,36.11
4003,3,1,1,23500,18649,4851,7621,0,0,0,0,14,2507,52,3831,1,15087,60,54,79,22,1,9,0,0,0,0,0,0,2,12,1,1,0,0,8,2,0,0,1,0,0,0,1,32,22,7,7,8,724,406,318,210,133,77,227,132,95,287,141,146,5,1,250,0,250,195,40,9,2,4,0,0,0,0,0,0,0,0,10,16,0,0,0,43,10,33,20.48,45.23,0,1,29,13,0,1,0,1,5,1,1,60,34
4004,4,1,1,72156,10885,60381,9027,0,0,0,0,29,2734,57,4567,1,13206,53,82,48,22,7,4,2,1,0,2,0,0,3,14,1,1,1,0,24,1,3,0,1,0,35,0,1,35,22,6,8,8,574,305,269,164,89,75,204,117,87,206,99,107,8,2,224,0,223,131,91,1,0,0,1,0,5,5,0,1,1,0,25,35,0,0,0,42,16,26,18.2,43.48,0,1,27,14,0,0,0,0,4,1,1,60,33.1
4005,4,1,1,0,0,0,3401,0,0,0,0,7,1254,0,0,1,8984,60,14,53,9,0,9,0,0,0,0,0,0,2,3,0,0,0,0,4,0,0,0,0,0,0,0,1,18,10,3,4,3,232,129,103,71,38,33,78,46,32,83,45,38,3,0,84,0,84,74,10,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,0,23,8,15,15.25,41.61,0,0,17,6,0,0,0,0,7,0, , , 
4007,3,1,3,19318,14912,4406,9324,0,0,0,0,22,4690,54,5739,1,16004,36,80,109,27,0,8,0,0,0,1,0,0,2,10,1,1,0,0,16,2,0,0,1,0,0,0,0,35,27,8,9,10,802,0,802,225,0,225,276,0,276,301,0,301,3,0,264,0,263,251,10,2,0,0,1,0,4,4,0,3,0,0,22,10,2,0,0,52,13,39,17.63,42.73,0,0,41,11,0,0,0,0,4,1,1,61,32.05
4008,3,1,2,28201,17501,10700,10082,0,0,0,0,0,0,65,4549,1,16323,42,87,62,30,0,16,1,1,0,0,0,0,3,9,2,1,4,0,22,4,3,0,1,1,30,0,0,47,30,11,9,10,862,862,0,280,280,0,269,269,0,313,313,0,5,0,294,0,294,252,25,12,1,4,0,0,4,4,0,4,0,0,31,30,1,0,0,55,17,38,14.92,41.93,0,0,46,8,1,0,0,0,5,1,1,60,31.06
4009,3,1,3,18652,12918,4216,8378,0,0,0,0,26,2780,63,4978,1,15521,58,96,50,26,0,10,0,3,0,0,0,0,7,4,1,1,0,0,13,2,0,0,1,0,0,0,1,36,24,7,9,8,707,0,707,197,0,197,245,0,245,265,0,265,14,0,254,1,252,232,9,6,0,5,1,0,3,3,0,2,0,0,25,19,0,0,0,48,13,35,19.56,43.96,0,0,40,8,0,0,0,0,5,1,2,58,36
4010,3,1,2,36688,18119,18053,10551,0,0,0,0,9,4305,9,981,1,12131,36,89,58,25,4,7,1,4,0,0,1,6,2,10,2,0,0,0,6,2,0,0,1,0,0,1,1,37,25,8,8,9,753,753,0,211,211,0,246,246,0,296,296,0,8,0,286,0,286,240,32,6,1,7,0,0,2,2,0,4,0,0,39,12,1,0,0,51,21,30,17.08,44.18,0,0,36,15,0,1,1,0,4,1,1,60,39.01
4011,4,1,3,0,0,0,4252,0,0,0,0,7,1621,41,2631,1,8271,70,63,57,24,0,1,0,1,0,3,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,2,25,11,3,3,5,261,0,261,64,0,64,82,0,82,115,0,115,11,0,79,0,78,48,27,3,0,0,1,0,1,1,0,0,0,0,7,9,1,0,0,24,6,18,18.7,43.04,0,0,19,4,1,2,0,2,6,0, , , 
