"","stuID","schID","gender","trans_stu","transe_pa","transe_re","transe_re_etc","pre_frendship_1","pre_frendship_2","pre_frendship_3","pre_frendship_4","pre_frendship_5","post_frendship_1","post_frendship_2","post_frendship_3","post_frendship_4","post_frendship_5","post_frendship_6","satisfac_stu_1","satisfac_stu_2","satisfac_stu_3","satisfac_stu_4","satisfac_stu_5","satisfac_pa_safety_1","satisfac_pa_safety_2","satisfac_pa_safety_3","satisfac_pa_safety_4","satisfac_pa_safety_5","satisfac_pa_safety_6","satisfac_pa_edu_1","satisfac_pa_edu_2","satisfac_pa_edu_3","satisfac_pa_edu_4","satisfac_pa_edu_5","satisfac_pa_edu_6","satisfac_pa_edu_7","satisfac_pa_edu_8","enthu_pa_1","enthu_pa_2","enthu_pa_3","enthu_pa_4","enthu_pa_5","tutoring_hakwon","tutoring_private","tutoring_online","SES","prefer_Hsch_dum_1","prefer_Hsch_dum_2","prefer_Hsch_dum_3","prefer_Hsch_dum_4","prefer_Hsch_dum_5","prefer_Hsch_dum_6","prefer_Hsch_dum_7","prefer_Hsch_dum_8","prefer_Hsch_dum_9","prefer_Hsch_dum_10","academic_abil","regional_scale","multicultur_per","L2Y3_REG","L2Y3DB2_2_2","L2Y3DB2_3_1","L2Y3DB2_3_2"
"1",1,4763,2,2,2,NA,NA,3,3,3,3,3,4,4,4,4,3,4,3,3,3,2,4,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,0,0,0,470,0,0,0,0,1,0,0,0,0,0,"255",NA,NA,1,87,2,1
"2",2,4769,2,2,2,NA,NA,4,3,4,5,4,4,4,4,4,4,4,3,3,2,2,3,3,3,4,3,3,3,4,3,3,3,4,3,3,4,4,4,4,3,2,-5,0,-2,489,0,0,0,0,0,0,1,0,0,0,"216.3333333",NA,NA,1,197,15,1
"3",3,4763,2,2,2,NA,NA,5,3,4,5,4,3,3,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,4,4,3,3,0,0,0,250,0,0,0,1,0,0,0,0,0,0,"222.3333333",NA,NA,1,87,2,1
"4",4,4765,1,2,2,NA,NA,5,4,5,5,5,5,4,4,5,5,5,4,3,3,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,0,0,0,300,0,1,0,0,0,0,0,0,0,0,"132",NA,NA,1,162,3,1
"5",5,4769,2,2,2,NA,NA,2,2,3,2,4,4,4,4,3,2,3,2,3,4,2,3,2,2,4,3,3,3,2,3,3,2,3,3,3,3,4,4,2,2,2,0,0,0,460,0,1,0,0,0,0,0,0,0,0,"190.3333333",NA,NA,1,197,15,1
"6",6,4769,2,2,2,NA,NA,5,4,4,4,4,5,5,5,5,4,5,5,5,3,4,4,3,3,5,5,3,5,4,4,4,4,4,4,3,4,4,4,2,3,2,10,0,0,300,0,0,0,0,0,0,0,1,0,0,"244",NA,NA,1,197,15,1
"7",7,4763,2,2,2,NA,NA,5,3,5,5,3,3,3,3,4,3,4,5,4,3,5,3,4,4,4,4,4,5,3,3,3,3,3,3,3,3,2,3,3,2,2,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,"131.6666667",NA,NA,1,87,2,1
"8",8,4769,2,2,2,NA,NA,4,3,3,5,3,4,5,4,4,3,5,4,3,2,2,3,3,3,3,3,2,3,4,4,3,3,3,4,3,3,3,3,2,2,2,10,-5,-5,380,1,0,0,0,0,0,0,0,0,0,"153",NA,NA,1,197,15,1
"9",9,4769,2,2,2,NA,NA,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,3,4,3,-1,-1,-1,4,5,4,5,4,4,3,4,3,3,3,3,3,10,0,0,400,0,0,0,1,0,0,0,0,0,0,"265.3333333",NA,NA,1,197,15,1
"10",10,4765,1,2,2,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,2,-5,0,0,350,1,0,0,0,0,0,0,0,0,0,"173.6666667",NA,NA,1,162,3,1
