stuID,schID,gender,pre_region,trans,pre_frendship_1,pre_frendship_2,pre_frendship_3,pre_frendship_4,pre_frendship_5,post_frendship_1,post_frendship_2,post_frendship_3,post_frendship_4,post_frendship_5,post_frendship_6,satisfac_stu_1,satisfac_stu_2,satisfac_stu_3,satisfac_stu_4,satisfac_stu_5,satisfac_pa_safety_1,satisfac_pa_safety_2,satisfac_pa_safety_3,satisfac_pa_safety_4,satisfac_pa_safety_5,satisfac_pa_safety_6,satisfac_pa_edu_1,satisfac_pa_edu_2,satisfac_pa_edu_3,satisfac_pa_edu_4,satisfac_pa_edu_5,satisfac_pa_edu_6,satisfac_pa_edu_7,satisfac_pa_edu_8,enthu_pa_1,enthu_pa_2,enthu_pa_3,enthu_pa_4,enthu_pa_5,SES,prefer_Hsch_dum_1,prefer_Hsch_dum_2,prefer_Hsch_dum_3,prefer_Hsch_dum_4,prefer_Hsch_dum_5,prefer_Hsch_dum_6,prefer_Hsch_dum_7,prefer_Hsch_dum_8,prefer_Hsch_dum_9,prefer_Hsch_dum_10,academic_abil,multicultur_per,seoul,bigcity,smallcity,rural,sch_SES,sch_academic_abil
1,4763,2,1,0,3,3,3,3,3,4,4,4,4,3,4,3,3,3,2,4,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,470,0,0,0,0,1,0,0,0,0,0,255,3.448275862,1,0,0,0,228.3333333,210.7916667
2,4769,2,1,0,4,3,4,5,4,4,4,4,4,4,4,3,3,2,2,3,3,3,4,3,3,3,4,3,3,3,4,3,3,4,4,4,4,3,2,489,0,0,0,0,0,0,1,0,0,0,216.3333333,8.121827411,1,0,0,0,350.6923077,216.2307692
3,4763,2,1,0,5,3,4,5,4,3,3,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,4,4,3,3,250,0,0,0,1,0,0,0,0,0,0,222.3333333,3.448275862,1,0,0,0,228.3333333,210.7916667
4,4765,1,1,0,5,4,5,5,5,5,4,4,5,5,5,4,3,3,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,300,0,1,0,0,0,0,0,0,0,0,132,2.469135802,1,0,0,0,286.6666667,181.8518519
5,4769,2,1,0,2,2,3,2,4,4,4,4,3,2,3,2,3,4,2,3,2,2,4,3,3,3,2,3,3,2,3,3,3,3,4,4,2,2,2,460,0,1,0,0,0,0,0,0,0,0,190.3333333,8.121827411,1,0,0,0,350.6923077,216.2307692
6,4769,2,1,0,5,4,4,4,4,5,5,5,5,4,5,5,5,3,4,4,3,3,5,5,3,5,4,4,4,4,4,4,3,4,4,4,2,3,2,300,0,0,0,0,0,0,0,1,0,0,244,8.121827411,1,0,0,0,350.6923077,216.2307692
8,4769,2,1,0,4,3,3,5,3,4,5,4,4,3,5,4,3,2,2,3,3,3,3,3,2,3,4,4,3,3,3,4,3,3,3,3,2,2,2,380,1,0,0,0,0,0,0,0,0,0,153,8.121827411,1,0,0,0,350.6923077,216.2307692
10,4765,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,2,350,1,0,0,0,0,0,0,0,0,0,173.6666667,2.469135802,1,0,0,0,286.6666667,181.8518519
11,4763,2,1,0,3,5,3,3,3,4,4,3,4,3,4,1,1,1,3,3,3,5,5,5,1,1,3,3,2,5,2,5,5,4,5,5,3,5,5,0,0,0,0,0,1,0,0,0,0,0,222.6666667,3.448275862,1,0,0,0,228.3333333,210.7916667
12,4758,2,1,0,5,5,5,5,5,4,4,4,4,4,4,4,4,3,5,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,5,5,5,5,5,500,1,0,0,0,0,0,0,0,0,0,182,0,1,0,0,0,500,215.1666667
